Reference,Location,MAT,MAP,Ecosystems,N type,N amount,Duration,C(POC),Csd,T(POC),Tsd,Cn,Tn,C(MAOC),Csd,T(MAOC),Tsd,Cn,Tn,C(SOC),Csd,T(SOC),Tsd,Cn,Tn,C(TN),Csd,T(TN),Tsd,Cn,Tn,C(NH4),Csd,T(NH4),Tsd,Cn,Tn,C(NO3),Csd,T(NO3),Tsd,Cn,Tn,C(DOC),Csd,T(DOC),Tsd,Cn,Tn,C(MBC),Csd,T(MBC),Tsd,Cn,Tn,C(pH),Csd,T(pH),Tsd,Cn,Tn
"Malhi et al., 2011","53бу07'N, 114бу28'W",,475,cropland,urea,75,27,7.555555556,1.386746667,18.02222222,3.260760667,4,4,,,,,,,11.91,1.2693678,16.49,2.23289441,4,4,1.029,0.211231062,1.404,0.323414208,4,4,,,,,,,2,0.481374,19.5,5.421975,4,4,,,,,,,,,,,,,5.94,0.2181168,5.16,0.15777732,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,25,27,12.66666667,2.32484,17.26666667,3.124058,4,4,,,,,,,43.77,4.6650066,45.42,6.15027678,4,4,3.688,0.757065264,3.84,0.88455168,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.43,0.1993896,5.41,0.16542157,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,50,27,12.66666667,2.32484,16.82222222,3.043644667,4,4,,,,,,,43.77,4.6650066,43.8,5.9309142,4,4,3.688,0.757065264,3.764,0.867044928,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.43,0.1993896,4.15,0.12689455,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,75,27,12.66666667,2.32484,17.66666667,3.19643,4,4,,,,,,,43.77,4.6650066,45.14,6.11236226,4,4,3.688,0.757065264,3.883,0.894456816,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.43,0.1993896,4.13,0.12628301,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,25,27,14.97777778,2.749021333,19.57777778,3.542207333,4,4,,,,,,,,,,,4,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.35,0.196452,5.37,0.16419849,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,50,27,14.97777778,2.749021333,21.71111111,3.928191333,4,4,,,,,,,,,,,4,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.35,0.196452,5.22,0.15961194,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,urea,75,27,14.97777778,2.749021333,24.56666667,4.444847,4,4,,,,,,,,,,,4,4,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.35,0.196452,5.17,0.15808309,4,4
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,50,19,1.238,0.22722252,1.24,0.2243532,4,4,,,,,,,50.39,5.3705662,49.4,6.6892046,4,4,4.405,0.90424959,4.33,0.99742416,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,19,1.238,0.22722252,1.74,0.3148182,4,4,,,,,,,50.39,5.3705662,51.35,6.95325215,4,4,4.405,0.90424959,4.5,1.036584,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,50,19,1.313,0.24098802,1.75,0.3166275,4,4,,,,,,,48.83,5.2043014,51.3,6.9464817,4,4,2.29,0.47008662,4.508,1.038426816,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,19,1.313,0.24098802,1.634,0.29563962,4,4,,,,,,,48.83,5.2043014,49.5,6.7027455,4,4,4.405,0.90424959,4.383,1.009632816,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,28,1.032,0.18941328,1.408,0.25474944,4,4,,,,,,,29.03,3.0940174,29.83,4.03925047,4,4,2.462,0.505394436,2.513,0.578874576,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,28,1.032,0.18941328,1.295,0.23430435,4,4,,,,,,,29.03,3.0940174,30.47,4.12591223,4,4,2.462,0.505394436,2.574,0.592926048,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,28,0.952,0.17473008,1.395,0.25239735,4,4,,,,,,,27.64,2.9458712,29.34,3.97290006,4,4,2.301,0.472344678,2.471,0.569199792,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Malhi et al., 2011","53бу25'N, 113бу33'W",,450,cropland,,100,28,0.952,0.17473008,1.354,0.24497922,4,4,,,,,,,27.64,2.9458712,38.46,5.20783014,4,4,2.301,0.472344678,2.396,0.551923392,4,4,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"Mujuru et al., 2016","17бу39'13'S, 31бу48'30''W",20,875,cropland,NH4NO3,100,9,0.69,0.1266426,1.39,0.2514927,4,4,19.8,2.4493392,28.8,4.9081248,4,4,15.96,2.56,28.82,5.68,4,4,1.03,0.22,1.74,0.3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mujuru et al., 2016","17бу39'13'S, 31бу48'30''W",20,875,cropland,NH4NO3,100,9,0.76,0.1394904,0.91,0.1646463,4,4,16.1,1.9916344,24.6,4.1923566,4,4,19.68,2.56,24.85,4.54,4,4,1.18,0.2,1.5,0.28,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mujuru et al., 2016","17бу39'13'S, 31бу48'30''W",20,875,cropland,NH4NO3,100,9,0.49,0.0899346,0.66,0.1194138,4,4,8.2,1.0143728,14,2.385894,4,4,8.24,2,14.11,5.1,4,4,0.61,0.12,0.84,0.24,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mujuru et al., 2016","17бу39'13'S, 31бу48'30''W",20,875,cropland,NH4NO3,100,9,0.22,0.0403788,0.5,0.090465,4,4,3.6,0.4453344,9,1.533789,4,4,3.86,0.86,9.44,3.98,4,4,0.27,0.1,0.58,0.2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oliveira et al., 2017","16бу42'04''S, 39бу18'40''W",22.5,1634,forest,NH4NO3,25,3,0.993024939,0.182259797,1.268108488,0.229438869,5,5,14.39875389,1.781183452,16.79750779,2.862648075,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Oliveira et al., 2017","16бу42'04''S, 39бу18'40''W",22.5,1634,forest,NH4NO3,50,3,0.993024939,0.182259797,1.209338907,0.218805688,5,5,14.39875389,1.781183452,14.71028037,2.506940692,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Oliveira et al., 2017","16бу42'04''S, 39бу18'40''W",22.5,1634,forest,NH4NO3,100,3,0.993024939,0.182259797,3.327348878,0.602017233,5,5,14.39875389,1.781183452,13.21495327,2.252105551,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Oliveira et al., 2017","16бу13'17''S, 39бу44'31''W",22.5,1370,forest,NH4NO3,25,3,1.680886211,0.308509855,1.652520601,0.298990552,5,5,20.94080997,2.590461956,19.6635514,3.351082093,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Oliveira et al., 2017","16бу13'17''S, 39бу44'31''W",22.5,1370,forest,NH4NO3,50,3,1.680886211,0.308509855,1.654463712,0.299342119,5,5,20.94080997,2.590461956,20.00623053,3.409481813,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Oliveira et al., 2017","16бу13'17''S, 39бу44'31''W",22.5,1370,forest,NH4NO3,100,3,1.680886211,0.308509855,1.951664435,0.353114646,5,5,20.94080997,2.590461956,19.53894081,3.329845832,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Pareja-Sивnchez et al., 2020","41бу48'N, 1бу07'E ",14.1,401,cropland,(NH4)2SO4+NH4NO3,60,18,20483,1621,22377,1335,3,3,19974,3230,21270,3472,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,
"Pareja-Sивnchez et al., 2020","41бу48'N, 1бу07'E ",14.1,401,cropland,(NH4)2SO4+NH4NO3,120,18,20483,1621,25166,19066,3,3,19974,3230,19066,3120,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,
"Pareja-Sивnchez et al., 2020","41бу48'N, 1бу07'E ",14.1,401,cropland,urea+NH4NO3,200,2,19165,6923,20773,3248,3,3,23102,3395,24345,4063,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,
"Pareja-Sивnchez et al., 2020","41бу48'N, 1бу07'E ",14.1,401,cropland,urea+NH4NO3,400,2,19165,6923,24136,5365,3,3,23102,3395,22825,3167,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,
"Purakayastha et al., 2008","28бу37'N, 77бу11'E ",22.5,750,cropland,urea,260,32,3.74,0.240416306,4.3,0.339411255,2,2,,,,,,,46.8,2.687005769,49.55,3.464823228,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,20,<1,4.792951542,0.986784141,5.568281938,0.563876652,3,3,12.48712313,1.441758242,15.52287029,0.527622805,3,3,17.88,1.69,20.38,1.08,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,0.1,7.5,0.04,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,50,<1,4.792951542,0.986784141,5.215859031,0.211453744,3,3,12.48712313,1.441758242,13.74133559,0.668131868,3,3,17.88,1.69,19.5,0.45,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,0.1,7.51,0.04,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,100,<1,4.792951542,0.986784141,4.088105727,0.281938326,3,3,12.48712313,1.441758242,13.47203907,0.492007138,3,3,17.88,1.69,17.99,1.36,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,0.1,7.63,0.13,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,250,<1,4.792951542,0.986784141,3.911894273,0.352422907,3,3,12.48712313,1.441758242,14.36258101,0.633267587,3,3,17.88,1.69,17.66,0.77,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,0.1,7.93,0.11,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,500,<1,4.792951542,0.986784141,3.982378855,0.740088106,3,3,12.48712313,1.441758242,13.77680098,0.316483516,3,3,17.88,1.69,17.56,2.34,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,0.1,7.94,0.17,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,20,<1,4.828193833,0.070484581,5.392070485,0.352422907,3,3,12.42130178,1.09010989,14.64870856,0.351498075,3,3,17,0.67,19.9,0.46,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,0.09,7.59,0.05,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,50,<1,4.828193833,0.070484581,5.286343612,0.176211454,3,3,12.42130178,1.09010989,14.16782192,0.492608246,3,3,17,0.67,19,1.01,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,0.09,7.54,0.08,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,100,<1,4.828193833,0.070484581,4.440528634,0.211453744,3,3,12.42130178,1.09010989,12.21061332,0.210838734,3,3,17,0.67,17.78,1.2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,0.09,7.69,0.01,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,250,<1,4.828193833,0.070484581,4.863436123,0.070484581,3,3,12.42130178,1.09010989,12.64446323,0.597802198,3,3,17,0.67,17.76,0.52,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,0.09,7.63,0.13,3,3
"Qi et al., 2015(In Chinese)","42бу26'44''N, 115бу29'10''E ",1.5,295,grassland,NaCO3,500,<1,4.828193833,0.070484581,4.158590308,0.105726872,3,3,12.42130178,1.09010989,14.16812248,1.371729126,3,3,17,0.67,17.02,2.65,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,0.09,7.72,0.26,3,3
"Qiao et al., 2018(In Chinese)","31бу11'N, 102бу35'E ",9,800,forest,urea,60,1,1.32,0.16,1.65,0.28,3,3,,,,,,,12.56,1.59,13.19,2.04,3,3,0.98,0.09,1.13,0.13,3,3,,,,,,,,,,,,,6.98,1.02,7.49,1.58,3,3,69.85,6.58,92.04,9.25,3,3,7.02,0.08,7.01,0.06,,
"Qiao et al., 2018(In Chinese)","31бу11'N, 102бу35'E ",9,800,forest,urea,120,1,1.32,0.16,1.98,0.15,3,3,,,,,,,12.56,1.59,15.49,1.87,3,3,0.98,0.09,1.38,0.25,3,3,,,,,,,,,,,,,6.98,1.02,10.45,2.14,3,3,69.85,6.58,123.45,8.14,3,3,7.02,0.08,6.74,0.06,,
"Qiao et al., 2018(In Chinese)","31бу11'N, 102бу35'E ",9,800,forest,urea,240,1,1.32,0.16,2.23,0.24,3,3,,,,,,,12.56,1.59,16.78,1.89,3,3,0.98,0.09,1.67,0.14,3,3,,,,,,,,,,,,,6.98,1.02,12.56,2.47,3,3,69.85,6.58,197.46,7.23,3,3,7.02,0.08,6.58,0.09,,
"Rodriguez et al., 2014","42бу07'N, 74бу15'W ",4.3,153,forest,NH4NO3,50,13,4.6625,0.223343346,8.415,0.435459527,6,6,25.9844,3.556800576,37.0662,8.508602212,6,6,33.3,7.84,46,4.41,6,6,2.8,3.9,0.98,2.695,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez et al., 2014","42бу07'N, 74бу15'W ",4.3,153,forest,NH4NO3,50,13,9.0761,0.306553916,9.061,0.280666531,6,6,26.0148,5.476800095,25.1346,6.161400764,6,6,41.7,17.64,36.1,17.885,6,6,2.3,2,0.98,0.98,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez et al., 2014","42бу07'N, 74бу15'W ",4.3,153,forest,NH4NO3,50,13,5.6942,0.170215159,7.9928,0.279797517,6,6,32.1436,3.648200564,37.8873,3.230701453,6,6,37.1,10.78,45.4,7.105,6,6,2.4,2.6,0.49,0.245,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez et al., 2014","42бу07'N, 74бу15'W ",4.3,153,forest,NH4NO3,50,13,7.2558,0.309763107,8.7862,0.680164449,4,4,21.1345,3.735400554,24.45,11.54040548,4,4,32,7.2,34,27.6,4,4,1.8,1.9,0.4,1.4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez et al., 2014","42бу07'N, 74бу15'W ",4.3,153,forest,NH4NO3,50,13,6.3525,0.18074151,7.5463,0.158898974,6,6,37.392,3.4440006,34.6293,3.335400623,6,6,43.9,5.635,42.7,7.105,6,6,2.9,2.7,0.735,0.49,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russell et al., 2005",Iowa State University,,,cropland,urea,180,17,4.693333333,0.604345376,4.79,0.531130869,3,3,,,,,,,35.16666667,3.800438571,36.56666667,3.262412195,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sainju et al., 2003",Georgia,,,cropland,NaNO3,90,5,3.1,0.568974,2.9,0.524697,4,4,,,,,,,15.4,1.641332,15.2,2.0582168,4,4,0.947,0.194398266,0.95,0.2188344,4,4,,,,,,,,,,,,,,,,,,,1298,177.109504,1216,171.615296,4,4,6,,,,,
"Sainju et al., 2003",Georgia,,,cropland,NaNO3,180,5,3.1,0.568974,3.3,0.597069,4,4,,,,,,,15.4,1.641332,14.7,1.9905123,4,4,0.947,0.194398266,0.972,0.223902144,4,4,,,,,,,,,,,,,,,,,,,1298,177.109504,1424,200.970544,4,4,6,,,,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,80,1,3.49,0.29,4.78,0.19,3,3,,,,,,,13.58,0.29,14.52,0.04,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,159.67,1.67,3,3,5.66,0,5.64,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,100,1,3.49,0.29,4.9,0.61,3,3,,,,,,,13.58,0.29,14.54,0.09,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,165.33,1.67,3,3,5.66,0,5.63,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,72,1,3.49,0.29,4.41,0.49,3,3,,,,,,,13.58,0.29,14.42,0.17,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,180.67,2.4,3,3,5.66,0,5.65,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,60,1,3.49,0.29,3.82,0.51,3,3,,,,,,,13.58,0.29,14.13,0.09,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,144.33,1.85,3,3,5.66,0,5.64,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,40,1,3.49,0.29,3.23,0.78,3,3,,,,,,,13.58,0.29,13.92,0.1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,145,3,3,3,5.66,0,5.66,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,80,2,3.57,0.18,5.28,0.11,3,3,,,,,,,13.23,0.17,16.6,0.12,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.67,6.86,173,7.03,3,3,5.67,0,5.61,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,100,2,3.57,0.18,5.39,0.1,3,3,,,,,,,13.23,0.17,14.69,0.16,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.67,6.86,198,1.73,3,3,5.67,0,5.6,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,72,2,3.57,0.18,4.69,0.26,3,3,,,,,,,13.23,0.17,14.52,0.17,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.67,6.86,200.33,5.61,3,3,5.67,0,5.63,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,60,2,3.57,0.18,4.26,0.09,3,3,,,,,,,13.23,0.17,14.31,0.07,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.67,6.86,172,2.64,3,3,5.67,0,5.64,0,,
"Sarma and Nirmali, 2017",Tezpur University,,,cropland,urea,40,2,3.57,0.18,3.69,0.1,3,3,,,,,,,13.23,0.17,14.06,0.45,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.67,6.86,163,3.21,3,3,5.67,0,5.65,0,,
"Shahbaz et al., 2017","48бу11'N, 9бу13'W",8.4,868,cropland,,200,32,0.74,0.077457395,0.84,0.071412189,3,3,7.22,0.3464,6.93,0.05196,3,3,9.65,0.65816,9.88,0.46764,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,
"Shahbaz et al., 2017","48бу11'N, 9бу13'W",8.4,868,cropland,,280,32,0.74,0.077457395,0.87,0.088315018,3,3,7.22,0.3464,6.55,0.55424,3,3,9.65,0.65816,9.76,0.67548,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,50,1,34.50400804,0.940439051,41.04204274,1.410658576,3,3,,,,,,,53.65047319,2.0784,61.69085174,1.3856,3,3,,,,,,,,,,,,,,,,,,,10.23617464,3.119760499,17.46860707,2.0784,3,3,,,,,,,5.37,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,150,1,34.50400804,0.940439051,39.97923345,0.940439051,3,3,,,,,,,53.65047319,2.0784,60.93291272,1.388513985,3,3,,,,,,,,,,,,,,,,,,,10.23617464,3.119760499,34.9022869,4.154639501,3,3,,,,,,,5.37,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,300,1,34.50400804,0.940439051,55.74704815,1.410658576,3,3,,,,,,,53.65047319,2.0784,85.37665615,2.0784,3,3,,,,,,,,,,,,,,,,,,,10.23617464,3.119760499,40.33222453,3.1176,3,3,,,,,,,5.37,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,50,1,30.93978176,0.940439051,41.00460579,0.941923954,3,3,,,,,,,40.51314406,2.0784,55.75352261,1.3856,3,3,,,,,,,,,,,,,,,,,,,42.38045738,3.1176,19.01164241,3.1176,3,3,,,,,,,4.99,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,150,1,30.93978176,0.940439051,37.22690316,1.410658576,3,3,,,,,,,40.51314406,2.0784,53.39726604,2.7712,3,3,,,,,,,,,,,,,,,,,,,42.38045738,3.1176,55.64282744,2.0784,3,3,,,,,,,4.99,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,300,1,30.93978176,0.940439051,50.00662053,0.941923954,3,3,,,,,,,40.51314406,2.0784,61.83932702,0.695713985,3,3,,,,,,,,,,,,,,,,,,,42.38045738,3.1176,22.07276507,2.0784,3,3,,,,,,,4.99,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,50,1,30.63085548,0.938954147,19.24973685,1.410658576,3,3,,,,,,,48.57917981,0.6928,38.6212408,0.6928,3,3,,,,,,,,,,,,,,,,,,,36.72598753,2.080560499,65.55841996,3.1176,3,3,,,,,,,5.76,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,150,1,30.63085548,0.938954147,22.52989955,0.938954147,3,3,,,,,,,48.57917981,0.6928,32.66161935,1.3856,3,3,,,,,,,,,,,,,,,,,,,36.72598753,2.080560499,34.98960499,3.119760499,3,3,,,,,,,5.76,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,300,1,30.63085548,0.938954147,29.33770892,1.882363005,3,3,,,,,,,48.57917981,0.6928,35.90536278,2.075486015,3,3,,,,,,,,,,,,,,,,,,,36.72598753,2.080560499,23.62203742,2.0784,3,3,,,,,,,5.76,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,50,1,22.72194253,1.410658576,33.6020919,1.880878101,3,3,,,,,,,29.84185068,2.081313985,44.28391167,2.0784,3,3,,,,,,,,,,,,,,,,,,,99.47027027,2.080560499,47.9014553,2.0784,3,3,,,,,,,5.52,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,150,1,22.72194253,1.410658576,34.98097193,1.410658576,3,3,,,,,,,29.84185068,2.081313985,41.5276551,1.3856,3,3,,,,,,,,,,,,,,,,,,,99.47027027,2.080560499,65.93388773,4.158960499,3,3,,,,,,,5.52,,,,,
"Shang et al., 2020(In Chinese)","23бу46'18''N, 101бу16'06''E",19.6,1050,forest,NH4NO3,300,1,22.72194253,1.410658576,27.12921463,1.410658576,3,3,,,,,,,29.84185068,2.081313985,32.77308097,2.075486015,3,3,,,,,,,,,,,,,,,,,,,99.47027027,2.080560499,89.36632017,3.1176,3,3,,,,,,,5.52,,,,,
"Singh et al., 2014","47бу28'40''N, 8бу21'55''E",8.4,930,forest,NH4NO3,60,1,10.74,0.48496,11.07,0.22516,3,3,23.28,3.464,23.28,5.196,3,3,36,6.928,36,3.464,3,3,2,0.3464,3,0.1732,3,3,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,
"Somasundaram et al., 2017","28бу12'S, 152бу06'E ",17.5,685,cropland,urea,90,47,2.67,0.4900518,2.85,0.5156505,4,4,16.31,2.01761224,16.88,2.87670648,4,4,18.8,0.6,19.3,2,4,4,1.2,0,1.4,0.14,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somasundaram et al., 2017","28бу12'S, 152бу06'E ",17.5,685,cropland,urea,90,47,2.06,0.3780924,2.58,0.4667994,4,4,15.63,1.93349352,17.27,2.94317067,4,4,18.5,1.2,19.6,1.2,4,4,1.3,0.06,1.4,0.12,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somasundaram et al., 2017","28бу12'S, 152бу06'E ",17.5,685,cropland,urea,90,47,2.42,0.4441668,2.79,0.5047947,4,4,15.68,1.93967872,16.85,2.87159385,4,4,18.8,1,19.4,1,4,4,1.3,0.06,1.4,0.06,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somasundaram et al., 2017","28бу12'S, 152бу06'E ",17.5,685,cropland,urea,90,47,2.33,0.4276482,2.98,0.5391714,4,4,16.4,2.0287456,18.06,3.07780326,4,4,18.9,1.4,21.2,1.4,4,4,1.3,0.01,1.6,0.14,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Song et al., 2014","42бу02'N, 116бу17'E ",2.1,382.3,grassland,urea,20,8,2.840542123,0.668076848,3.210825734,0.507838365,8,8,14.85576923,4.233930464,15.93508002,3.984566708,8,8,21.80502104,5.969828525,20.8522825,3.60696744,8,8,2.453947368,0.423308104,2.207236842,0.260596083,8,8,,,,,,,,,,,,,51.23355263,7.156833008,50.20559211,10.0144853,8,8,484.1463415,80.52105743,423.5772358,74.99619926,8,8,6.712037037,0.068290943,6.675491021,0.121085961,8,8
"Song et al., 2014","42бу02'N, 116бу17'E ",2.1,382.3,grassland,urea,40,8,2.840542123,0.668076848,3.142725676,0.372065277,8,8,14.85576923,4.233930464,16.53406158,3.635901522,8,8,21.80502104,5.969828525,21.03610316,4.345035962,8,8,2.453947368,0.423308104,2.273026316,0.318948924,8,8,,,,,,,,,,,,,51.23355263,7.156833008,50.53453947,5.341688275,8,8,484.1463415,80.52105743,388.1097561,93.04383701,8,8,6.712037037,0.068290943,6.563171062,0.135657036,8,8
"Song et al., 2014","42бу02'N, 116бу17'E ",2.1,382.3,grassland,urea,80,8,2.840542123,0.668076848,3.514985778,0.67116993,8,8,14.85576923,4.233930464,17.2290112,5.296057596,8,8,21.80502104,5.969828525,22.84575883,2.582190919,8,8,2.453947368,0.423308104,2.332236842,0.506009021,8,8,,,,,,,,,,,,,51.23355263,7.156833008,52.71381579,18.73206008,8,8,484.1463415,80.52105743,309.1463415,81.06906575,8,8,6.712037037,0.068290943,6.354664703,0.173083707,8,8
